id,food_name,calories,protein_g,fat_g,carbs_g,disease_tags
2335,Salmon Variant 5,134,38.03,23.71,35.42,Weight-Loss
2336,Carrot Variant 38,302,5.12,9.89,78.39,Liver-Friendly
2337,Yogurt Variant 19,575,29.31,2.6,31.59,"Weight-Loss, High-Protein, Balanced"
2338,Cheese Variant 25,144,34.53,14.55,22.76,"Low-Salt, Balanced, Diabetes-Friendly"
2339,Banana Variant 19,300,23.8,28.78,48.26,"Heart-Healthy, Low-Salt, Low-Carb"
2340,Cheese Variant 40,455,8.87,14.96,74.59,"Liver-Friendly, Heart-Healthy, High-Protein"
2341,Tofu Variant 9,118,21.79,5.81,45.93,Low-Salt
2342,Chicken Breast Variant 34,269,38.14,19.3,30.12,Balanced
2343,Orange Variant 29,440,11.28,14.4,74.94,Diabetes-Friendly
2344,Carrot Variant 44,298,9.97,7.99,31.07,"Kidney-Friendly, Balanced, Weight-Loss"
2345,Orange Variant 1,274,29.86,17.57,65.52,"Low-Carb, Heart-Healthy, Weight-Loss"
2346,Rice Variant 29,205,6.13,0.27,69.89,Heart-Healthy
2347,Oats Variant 49,194,22.15,2.21,13.88,"Liver-Friendly, Low-Salt, Balanced"
2348,Apple Variant 11,117,4.95,16.75,19.16,"Diabetes-Friendly, Low-Carb, Kidney-Friendly"
2349,Apple Variant 44,238,25.82,7.7,3.91,"Low-Carb, High-Protein, Weight-Loss"
2350,Banana Variant 2,270,1.87,18.02,11.9,"Kidney-Friendly, Low-Salt"
2351,Pasta Variant 36,215,8.82,16,28.44,"Low-Salt, Diabetes-Friendly"
2352,Orange Variant 4,583,38.56,19.85,41.64,Weight-Loss
2353,Cheese Variant 24,350,6.5,4.22,28.85,Low-Salt
2354,Almonds Variant 42,521,1.73,10.51,4.28,Kidney-Friendly
2355,Salmon Variant 7,542,29.72,27.34,31.05,"Balanced, Liver-Friendly"
2356,Potato Variant 3,350,38.11,28.68,56.33,"Heart-Healthy, Balanced, Kidney-Friendly"
2357,Tofu Variant 19,395,12.95,24.95,17.35,"Heart-Healthy, Diabetes-Friendly, Balanced"
2358,Egg Variant 35,255,39,10.24,43.46,"Weight-Loss, Low-Carb"
2359,Chicken Breast Variant 11,410,25.7,14.06,34.55,"Heart-Healthy, Kidney-Friendly"
2360,Pasta Variant 9,331,7.64,1.38,22.38,"Low-Salt, Diabetes-Friendly, Liver-Friendly"
2361,Tofu Variant 49,292,11.43,10.45,68.83,Low-Salt
2362,Bread Variant 40,85,30.76,22.18,42.4,"Liver-Friendly, High-Protein"
2363,Salmon Variant 18,457,12.09,20.49,49.56,"Liver-Friendly, Low-Carb, Diabetes-Friendly"
2364,Rice Variant 7,294,14.34,18.31,63.57,"Low-Salt, Balanced"
2365,Beef Variant 5,441,27.34,28.23,49.61,"Diabetes-Friendly, Liver-Friendly"
2366,Pasta Variant 30,242,7.05,12.25,18.28,"Balanced, High-Protein, Diabetes-Friendly"
2367,Bread Variant 29,82,0.66,11.99,61.59,Liver-Friendly
2368,Beef Variant 33,217,7.86,5.68,32.38,"Diabetes-Friendly, Heart-Healthy, Low-Carb"
2369,Banana Variant 33,359,37.63,8.95,22.32,Balanced
2370,Chicken Breast Variant 3,242,18.19,28.71,42.61,"Kidney-Friendly, Low-Salt, Liver-Friendly"
2371,Broccoli Variant 15,38,38.35,0.76,70.99,"Diabetes-Friendly, Kidney-Friendly"
2372,Salmon Variant 46,34,1.93,16.21,27.83,"Low-Salt, High-Protein"
2373,Egg Variant 2,266,6.33,2.46,37.45,"Weight-Loss, Low-Carb"
2374,Yogurt Variant 29,567,10.18,5.72,37.26,High-Protein
2375,Tofu Variant 16,123,15.81,29.13,69.1,"Low-Salt, Heart-Healthy"
2376,Bread Variant 16,117,8.53,7.54,48.31,Low-Salt
2377,Milk Variant 43,110,1.42,28.07,75.25,"Low-Salt, Kidney-Friendly"
2378,Pasta Variant 17,134,19.01,27.58,47.38,Low-Salt
2379,Potato Variant 2,322,10.67,26.91,4.59,"Weight-Loss, Heart-Healthy, Low-Salt"
2380,Spinach Variant 9,275,11.24,9.02,53.05,High-Protein
2381,Cheese Variant 35,434,25.34,9.53,75.6,"Kidney-Friendly, Heart-Healthy"
2382,Apple Variant 42,31,10.2,3.26,50.75,"Low-Carb, Low-Salt"
2383,Oats Variant 12,375,17.5,12.24,55.69,"Kidney-Friendly, High-Protein, Weight-Loss"
2384,Beef Variant 25,314,30.43,13.62,66.05,Balanced
2385,Cheese Variant 16,56,20.19,8.08,48.41,Diabetes-Friendly
2386,Apple Variant 16,190,14.01,19.24,21.8,"Diabetes-Friendly, Heart-Healthy, Low-Carb"
2387,Egg Variant 49,509,16.83,0.26,63.03,"Kidney-Friendly, Balanced"
2388,Potato Variant 25,418,13.25,28.52,6.76,"Low-Salt, Low-Carb, Balanced"
2389,Chicken Breast Variant 32,319,28.69,16.08,15.56,"Low-Salt, Liver-Friendly, Weight-Loss"
2390,Milk Variant 9,194,12.32,6.16,54.59,Heart-Healthy
2391,Salmon Variant 15,570,13.74,16.49,30.63,"High-Protein, Kidney-Friendly, Weight-Loss"
2392,Yogurt Variant 28,499,10.5,4.39,32.26,"Low-Salt, Balanced"
2393,Salmon Variant 9,73,28.18,24.42,19.12,"Heart-Healthy, High-Protein"
2394,Oats Variant 42,588,30.12,17.4,26.84,"High-Protein, Weight-Loss, Balanced"
2395,Milk Variant 38,49,28.91,24.74,5.99,"Diabetes-Friendly, Liver-Friendly"
2396,Orange Variant 3,190,18.42,5.21,59.65,Liver-Friendly
2397,Banana Variant 32,246,12.89,2.67,59.92,"Low-Salt, Balanced, Weight-Loss"
2398,Cheese Variant 34,420,31.72,7.15,8.16,Low-Carb
2399,Broccoli Variant 6,205,36.43,5.94,49.57,"Balanced, Low-Salt, High-Protein"
2400,Tofu Variant 29,315,30.33,10.43,75.55,Diabetes-Friendly
2401,Broccoli Variant 17,507,11.19,22.97,36.78,Low-Salt
2402,Almonds Variant 29,166,32.61,27.23,29.21,"Heart-Healthy, High-Protein"
2403,Banana Variant 44,485,34.86,21.87,34.78,Low-Carb
2404,Rice Variant 39,217,28.73,25.94,16.7,Low-Carb
2405,Carrot Variant 11,534,34.61,23.74,7.8,"Weight-Loss, Liver-Friendly, Low-Salt"
2406,Almonds Variant 28,235,18.73,9.67,1.38,"Low-Carb, Kidney-Friendly, High-Protein"
2407,Banana Variant 22,190,31.63,9.35,25.86,"Heart-Healthy, Diabetes-Friendly"
2408,Cheese Variant 34,50,16.86,24.85,56.95,High-Protein
2409,Bread Variant 39,306,8.01,7.24,72.11,Kidney-Friendly
2410,Bread Variant 9,515,19.85,22.81,9.4,"Low-Carb, High-Protein, Diabetes-Friendly"
2411,Salmon Variant 30,54,27.82,7.06,43.52,"Diabetes-Friendly, Low-Carb"
2412,Pasta Variant 47,148,13.1,24.01,64.38,Low-Salt
2413,Yogurt Variant 48,399,35.22,14.13,7.27,"Balanced, Diabetes-Friendly, Low-Carb"
2414,Egg Variant 15,271,39.74,20.43,50.54,"Diabetes-Friendly, Kidney-Friendly, Liver-Friendly"
2415,Beef Variant 27,456,34.33,29.58,72.25,"Low-Salt, Weight-Loss, Heart-Healthy"
2416,Egg Variant 34,228,10.46,12.86,74.69,"Low-Salt, Diabetes-Friendly, Balanced"
2417,Cheese Variant 42,431,15.28,17.44,9.19,High-Protein
2418,Almonds Variant 49,502,16.33,25.66,34.03,"Weight-Loss, Kidney-Friendly"
2419,Pasta Variant 2,362,33.63,20.81,3.45,"Weight-Loss, High-Protein"
2420,Tofu Variant 36,140,25,27.8,60.82,"Balanced, Kidney-Friendly, Weight-Loss"
2421,Tofu Variant 26,436,12.93,20.25,7.64,Balanced
2422,Rice Variant 39,464,30.1,17.42,4.5,"Low-Carb, Heart-Healthy"
2423,Yogurt Variant 7,458,36.3,13.69,52.9,"Weight-Loss, Diabetes-Friendly"
2424,Milk Variant 19,71,1.8,4.73,66.63,"Low-Carb, Diabetes-Friendly, High-Protein"
2425,Beef Variant 30,594,1.49,27.3,33.1,Low-Carb
2426,Oats Variant 27,513,18,4.79,25.23,"Kidney-Friendly, Diabetes-Friendly, Low-Carb"
2427,Milk Variant 10,172,25.04,22.28,27.84,"Low-Salt, Kidney-Friendly, Liver-Friendly"
2428,Chicken Breast Variant 31,237,35.67,20.95,39.73,"Heart-Healthy, Kidney-Friendly, Low-Carb"
2429,Oats Variant 15,479,7.64,24.49,15.53,"Kidney-Friendly, Weight-Loss, Liver-Friendly"
2430,Chicken Breast Variant 35,395,30.52,24.19,70.76,Liver-Friendly
2431,Rice Variant 26,389,19.28,8.43,45.99,"Weight-Loss, Liver-Friendly"
2432,Tofu Variant 8,165,12.18,19.03,36.26,"Diabetes-Friendly, Weight-Loss"
2433,Beef Variant 31,52,17.83,19.68,48.52,"Liver-Friendly, Heart-Healthy, Low-Salt"
2434,Banana Variant 6,446,23.47,19.22,76.18,Diabetes-Friendly
2435,Tofu Variant 7,30,16.35,14.02,31.86,"Kidney-Friendly, High-Protein, Heart-Healthy"
2436,Almonds Variant 26,159,21.11,1.74,26.3,Low-Carb
2437,Yogurt Variant 29,364,25.4,20.71,28.13,Diabetes-Friendly
2438,Rice Variant 44,138,19,28.81,75.52,"Heart-Healthy, Low-Carb, High-Protein"
2439,Spinach Variant 13,389,14,11.78,12.61,Low-Carb
2440,Cheese Variant 23,522,33.82,23.69,61.44,"High-Protein, Heart-Healthy"
2441,Bread Variant 23,410,6.56,9.36,46.8,"Kidney-Friendly, Low-Salt, Balanced"
2442,Oats Variant 41,480,9.72,25.07,11.87,Heart-Healthy
2443,Carrot Variant 22,558,4.3,0.96,11.45,Diabetes-Friendly
2444,Almonds Variant 7,216,31.16,5.97,60.45,Heart-Healthy
2445,Potato Variant 15,42,13.92,16.52,50.76,"Diabetes-Friendly, Liver-Friendly, Kidney-Friendly"
2446,Egg Variant 19,74,14.45,24.59,14.34,"Low-Salt, Kidney-Friendly"
2447,Milk Variant 11,230,23.47,25.3,41.77,"Balanced, Diabetes-Friendly"
2448,Pasta Variant 40,293,27.34,22.71,45.36,"Heart-Healthy, Balanced"
2449,Pasta Variant 18,555,14.28,1.49,52.89,"High-Protein, Heart-Healthy"
2450,Banana Variant 49,467,29.28,11.06,37.36,Low-Carb
2451,Cheese Variant 20,43,36.23,7.36,21.22,Heart-Healthy
2452,Oats Variant 15,183,35,20.46,25.73,Low-Salt
2453,Almonds Variant 9,372,35.45,10.6,22.84,Liver-Friendly
2454,Tofu Variant 7,130,24.35,29.11,18.01,"High-Protein, Heart-Healthy"
2455,Chicken Breast Variant 20,479,33.39,26.3,57.46,Balanced
2456,Yogurt Variant 11,227,5.66,0.29,26.02,"Diabetes-Friendly, Weight-Loss, Kidney-Friendly"
2457,Potato Variant 25,74,22.05,20.27,45.08,"Low-Salt, Balanced, Low-Carb"
2458,Rice Variant 31,455,22.08,4.1,37.45,"Liver-Friendly, Weight-Loss, Heart-Healthy"
2459,Broccoli Variant 16,251,25.75,21.11,62.07,"Balanced, Liver-Friendly"
2460,Yogurt Variant 47,435,6.2,29.78,67.65,Liver-Friendly
2461,Bread Variant 14,448,28.61,18.14,40.54,"Weight-Loss, Low-Carb"
2462,Rice Variant 4,473,21.62,18.14,77.06,"Weight-Loss, Balanced, High-Protein"
2463,Cheese Variant 23,356,37.67,19.9,49.7,Heart-Healthy
2464,Rice Variant 17,174,12.75,29.38,5.62,"Low-Carb, Low-Salt, Kidney-Friendly"
2465,Tofu Variant 13,454,20.8,6.13,1.87,Heart-Healthy
2466,Apple Variant 17,73,3.84,22.16,40.68,Heart-Healthy
2467,Yogurt Variant 31,432,8.99,28.83,27.27,Weight-Loss
2468,Bread Variant 47,342,4.95,21.37,5.29,Low-Salt
2469,Broccoli Variant 23,313,31.43,20,59.99,High-Protein
2470,Yogurt Variant 1,189,33.94,11.26,68.95,Heart-Healthy
2471,Salmon Variant 15,193,37.08,4.38,68.43,"Balanced, Heart-Healthy, High-Protein"
2472,Carrot Variant 10,538,15.09,17.04,18.75,"Weight-Loss, Liver-Friendly"
2473,Milk Variant 1,292,17.79,28.33,77.59,"Weight-Loss, Low-Carb"
2474,Salmon Variant 2,555,19.23,0.46,79.32,Liver-Friendly
2475,Yogurt Variant 18,366,21.49,8.35,26.97,"Low-Salt, Low-Carb, Kidney-Friendly"
2476,Orange Variant 15,238,12.08,23,8.03,"Liver-Friendly, Kidney-Friendly, Low-Carb"
2477,Pasta Variant 12,276,14.1,25.51,71.91,"Diabetes-Friendly, Balanced"
2478,Oats Variant 26,544,8,9.7,2.79,Balanced
2479,Spinach Variant 26,469,7.75,26.89,22.17,Low-Salt
2480,Orange Variant 22,524,0.52,6.62,3.1,"Heart-Healthy, Low-Carb, Diabetes-Friendly"
2481,Banana Variant 13,102,0.53,25.71,69.45,"Diabetes-Friendly, Low-Salt, Balanced"
2482,Oats Variant 23,204,24.31,27.08,3.1,Kidney-Friendly
2483,Spinach Variant 17,313,2.23,29.45,22.37,"Heart-Healthy, Kidney-Friendly, High-Protein"
2484,Pasta Variant 27,227,0.69,18.67,20.66,Liver-Friendly
2485,Almonds Variant 47,124,16.45,7.56,69.75,"Kidney-Friendly, Heart-Healthy"
2486,Oats Variant 13,559,18.88,26.18,36.97,"Diabetes-Friendly, Low-Salt"
2487,Egg Variant 7,113,16.68,6.43,60.82,"Diabetes-Friendly, Liver-Friendly, Heart-Healthy"
2488,Orange Variant 15,502,29.18,11.75,64.64,"Diabetes-Friendly, Weight-Loss"
2489,Egg Variant 18,149,12.13,29.26,28.48,"Heart-Healthy, Liver-Friendly, Diabetes-Friendly"
2490,Pasta Variant 42,328,10.97,28.86,65.69,"Weight-Loss, Low-Salt"
2491,Rice Variant 30,372,34.86,1.09,67.03,"Balanced, Weight-Loss"
2492,Orange Variant 1,450,20.27,2.13,77.39,"Diabetes-Friendly, Weight-Loss"
2493,Orange Variant 32,581,6.47,23.48,6.11,Balanced
2494,Banana Variant 50,537,8.14,5.95,3.34,Weight-Loss
2495,Beef Variant 49,165,30.69,29.55,58.99,Balanced
2496,Beef Variant 36,373,31.16,22.47,19.44,"Low-Carb, Low-Salt"
2497,Bread Variant 20,53,31.83,29.04,5.09,"Low-Carb, Heart-Healthy"
2498,Milk Variant 1,185,24.48,19.83,72.35,Liver-Friendly
2499,Salmon Variant 48,394,23.85,26.68,7.88,Kidney-Friendly
2500,Salmon Variant 4,581,1.88,13.89,26.75,Weight-Loss
2501,Banana Variant 4,528,24.01,8.06,18.81,"Heart-Healthy, Liver-Friendly, Diabetes-Friendly"
2502,Spinach Variant 17,480,21.84,6.94,21.6,"Low-Salt, Balanced"
2503,Pasta Variant 40,481,10.44,23.86,1.33,Balanced
2504,Pasta Variant 21,275,4.19,24.32,1.78,"High-Protein, Liver-Friendly, Diabetes-Friendly"
2505,Yogurt Variant 18,127,18.97,16.55,8.98,Low-Carb
2506,Salmon Variant 3,394,35.32,9.28,31.03,"Kidney-Friendly, High-Protein, Balanced"
2507,Cheese Variant 15,160,15.1,28.47,39.89,"Balanced, Liver-Friendly, Heart-Healthy"
2508,Chicken Breast Variant 39,212,28.39,4.7,17.95,"Kidney-Friendly, High-Protein"
2509,Almonds Variant 6,405,12.83,4.07,47.49,"Weight-Loss, Kidney-Friendly, Liver-Friendly"
2510,Cheese Variant 6,33,5.64,25.88,64.15,"Balanced, Heart-Healthy, Liver-Friendly"
2511,Milk Variant 28,44,13.86,8.46,7.96,Liver-Friendly
2512,Carrot Variant 16,133,24.62,0.52,6.46,"Low-Salt, Kidney-Friendly"
2513,Egg Variant 38,517,28.49,23.54,38.41,Weight-Loss
2514,Carrot Variant 4,285,4.71,20.53,38.88,"Heart-Healthy, High-Protein, Low-Carb"
2515,Beef Variant 34,91,1.58,9.93,62.76,"Kidney-Friendly, High-Protein, Liver-Friendly"
2516,Rice Variant 35,135,1.27,19.3,13.39,"Kidney-Friendly, Weight-Loss, Liver-Friendly"
2517,Salmon Variant 14,323,16.7,10.03,53.82,"Kidney-Friendly, Low-Carb"
2518,Banana Variant 33,151,7.86,14.88,12.66,"Kidney-Friendly, Liver-Friendly, Balanced"
2519,Chicken Breast Variant 4,351,19.86,20.75,18.26,"Balanced, Low-Salt, Liver-Friendly"
2520,Chicken Breast Variant 6,279,4.6,3.1,2.22,"High-Protein, Low-Salt"
2521,Orange Variant 45,209,36.2,21.07,7.19,Heart-Healthy
2522,Oats Variant 10,49,34.92,17.99,19.56,Kidney-Friendly
2523,Oats Variant 9,209,29.77,18.48,60.94,Kidney-Friendly
2524,Pasta Variant 30,241,25.16,3.58,70.88,High-Protein
2525,Tofu Variant 49,413,35.06,5.53,49.7,Weight-Loss
2526,Almonds Variant 37,37,15.16,18.43,61.96,Liver-Friendly
2527,Almonds Variant 40,284,7.27,8.91,8.22,"Balanced, Liver-Friendly"
2528,Apple Variant 31,174,29.27,28.75,42.82,Weight-Loss
2529,Carrot Variant 14,30,30.74,4.98,17.34,"Diabetes-Friendly, Kidney-Friendly"
2530,Egg Variant 5,287,30.88,21.37,5.32,Weight-Loss
2531,Yogurt Variant 37,99,12.12,25.14,56.26,"Diabetes-Friendly, High-Protein, Kidney-Friendly"
2532,Apple Variant 16,87,5.29,11.66,14.56,"High-Protein, Low-Carb"
2533,Beef Variant 21,266,12.69,12,26.48,"Weight-Loss, Low-Salt, Diabetes-Friendly"
2534,Apple Variant 30,57,38.83,18.32,59.36,"High-Protein, Weight-Loss, Low-Carb"
2535,Rice Variant 28,367,9.19,21.66,28.72,"Low-Salt, Balanced, Diabetes-Friendly"
2536,Tofu Variant 16,529,34.88,11.01,35.47,Low-Salt
2537,Rice Variant 22,359,17.92,17,28.83,Weight-Loss
2538,Tofu Variant 9,568,19.4,18.94,26.13,Balanced
2539,Rice Variant 42,58,6.82,6.47,50.29,"Liver-Friendly, Kidney-Friendly, Weight-Loss"
2540,Pasta Variant 34,528,7.18,20.16,56.19,Weight-Loss
2541,Orange Variant 19,66,16.33,22.66,6.85,"Heart-Healthy, Weight-Loss"
2542,Banana Variant 50,220,12.96,25.77,45.18,"Heart-Healthy, Low-Carb, Balanced"
2543,Almonds Variant 40,57,29.01,5.85,69.57,"Weight-Loss, Liver-Friendly, Kidney-Friendly"
2544,Potato Variant 40,463,36.12,14.39,44.39,"High-Protein, Kidney-Friendly"
2545,Rice Variant 17,398,2.3,12.19,71.43,High-Protein
2546,Rice Variant 48,274,33.83,2.36,25.43,"Liver-Friendly, Weight-Loss, High-Protein"
2547,Broccoli Variant 45,84,18.1,8.95,22.02,Weight-Loss
2548,Tofu Variant 48,184,1.18,26.38,4.6,Kidney-Friendly
2549,Salmon Variant 40,349,22.58,28.14,43.59,"Heart-Healthy, Balanced, Low-Carb"
2550,Milk Variant 5,237,29.45,3.68,45.88,"Kidney-Friendly, Weight-Loss, Diabetes-Friendly"
2551,Carrot Variant 3,476,14.79,22.7,5.47,Heart-Healthy
2552,Apple Variant 44,341,25.62,24.38,79.42,"Liver-Friendly, Kidney-Friendly, Diabetes-Friendly"
2553,Pasta Variant 33,82,15.21,19.35,36.94,Low-Carb
2554,Tofu Variant 40,247,11.44,26.54,45.49,Liver-Friendly
2555,Salmon Variant 39,181,22.67,25.96,34.63,"Heart-Healthy, Kidney-Friendly, High-Protein"
2556,Tofu Variant 10,54,26.38,23.11,52,Heart-Healthy
2557,Bread Variant 28,300,32.3,22.16,45.89,"Liver-Friendly, Heart-Healthy"
2558,Orange Variant 16,376,16.23,24.32,49.77,Balanced
2559,Beef Variant 49,385,31.29,6.72,13.57,Diabetes-Friendly
2560,Pasta Variant 40,53,38.94,27.92,55.29,Low-Salt
2561,Salmon Variant 31,448,19.88,1.32,64.47,Low-Carb
2562,Tofu Variant 4,576,26.56,1.57,24.72,"Low-Carb, Liver-Friendly, High-Protein"
2563,Pasta Variant 1,363,14.57,9.24,55.04,"Diabetes-Friendly, High-Protein, Heart-Healthy"
2564,Cheese Variant 18,93,36.67,3.3,28.75,"Liver-Friendly, Heart-Healthy, Low-Carb"
2565,Salmon Variant 10,263,31.11,18.15,45.33,Low-Carb
2566,Oats Variant 25,442,3.22,15.38,11.59,"Low-Carb, Low-Salt"
2567,Broccoli Variant 2,594,19.83,16.01,13.86,Kidney-Friendly
2568,Yogurt Variant 13,305,19.88,7.28,26.26,"Kidney-Friendly, Balanced, Liver-Friendly"
2569,Broccoli Variant 26,465,25.69,0.61,27.11,"Diabetes-Friendly, Liver-Friendly"
2570,Banana Variant 20,332,15.33,25.45,1.83,Liver-Friendly
2571,Pasta Variant 7,518,23.77,21.44,9.18,"Weight-Loss, Low-Salt"
2572,Tofu Variant 14,481,22.52,22.86,51.74,Low-Carb
2573,Bread Variant 6,162,6.28,25.34,78.66,Kidney-Friendly
2574,Salmon Variant 39,372,14.92,24.7,50.31,High-Protein
2575,Oats Variant 50,87,26.89,0.26,53.6,Heart-Healthy
2576,Potato Variant 41,462,11.86,27.42,13.14,Heart-Healthy
2577,Chicken Breast Variant 46,489,5.83,0.8,46.79,"Kidney-Friendly, Low-Salt, Low-Carb"
2578,Apple Variant 16,40,14.29,21.73,61.53,"Weight-Loss, Balanced, High-Protein"
2579,Beef Variant 27,447,11.55,2.59,6.75,"High-Protein, Heart-Healthy, Low-Carb"
2580,Potato Variant 4,311,14.73,24.08,23.58,"Low-Salt, Balanced, Liver-Friendly"
2581,Broccoli Variant 39,452,3.19,14.27,14.52,Heart-Healthy
2582,Yogurt Variant 37,539,32.79,26.53,62.65,Heart-Healthy
2583,Pasta Variant 46,561,13.18,13.75,73.09,Low-Carb
2584,Apple Variant 21,103,17.04,4.93,2.19,"Heart-Healthy, Low-Carb"
2585,Cheese Variant 39,128,35.18,21.98,70.39,"Kidney-Friendly, Diabetes-Friendly, Weight-Loss"
2586,Milk Variant 41,109,0.85,3.77,60.24,"Kidney-Friendly, Weight-Loss, High-Protein"
2587,Egg Variant 21,156,21.76,17.85,11.11,Diabetes-Friendly
2588,Egg Variant 33,534,12.35,11.7,67.68,Kidney-Friendly
2589,Oats Variant 12,591,37.03,19.48,39.68,Balanced
2590,Cheese Variant 13,252,27.17,11.86,31.4,"Low-Salt, Diabetes-Friendly, High-Protein"
2591,Egg Variant 34,196,3.8,16.84,53.51,"Low-Salt, High-Protein, Balanced"
2592,Spinach Variant 4,93,25.27,14.77,23.98,High-Protein
2593,Apple Variant 50,166,3.1,6.89,25,"Balanced, Low-Carb, Liver-Friendly"
2594,Beef Variant 14,497,30.97,14.62,30.67,"Kidney-Friendly, High-Protein"
2595,Yogurt Variant 37,334,1.64,10.85,34.42,Weight-Loss
2596,Spinach Variant 41,256,12.05,0.22,33.57,Liver-Friendly
2597,Cheese Variant 1,430,30.77,19.85,73.43,Weight-Loss
2598,Yogurt Variant 12,407,8.3,1.72,32.22,Low-Carb
2599,Almonds Variant 3,402,24.8,13.72,79.21,Liver-Friendly
2600,Carrot Variant 33,76,2.74,11.41,24.8,"Liver-Friendly, Low-Carb"
2601,Apple Variant 46,564,33.6,16.37,50.52,Weight-Loss
2602,Pasta Variant 28,440,11.91,29.69,54.06,"Balanced, Kidney-Friendly, Low-Salt"
2603,Pasta Variant 43,525,4.08,4.05,37.14,"Liver-Friendly, Weight-Loss"
2604,Orange Variant 35,159,12.65,18.25,36.22,"Liver-Friendly, Weight-Loss, Balanced"
2605,Apple Variant 30,586,7.11,26.17,67.97,Kidney-Friendly
2606,Rice Variant 7,421,24.26,5.97,25.29,"Weight-Loss, Low-Carb, Kidney-Friendly"
2607,Cheese Variant 29,107,1.95,10.56,29.92,"Low-Carb, Low-Salt"
2608,Apple Variant 19,528,39.95,28.05,30.92,Liver-Friendly
2609,Yogurt Variant 32,149,13.04,13.85,6.3,"Low-Carb, Kidney-Friendly, High-Protein"
2610,Apple Variant 45,141,37.71,17.62,73.18,"Kidney-Friendly, Balanced, Weight-Loss"
2611,Beef Variant 39,304,11.74,1.75,28.37,"Low-Salt, Diabetes-Friendly"
2612,Almonds Variant 36,342,28.11,15.88,75.37,"Heart-Healthy, Balanced"
2613,Salmon Variant 36,570,20.27,20.17,56.06,"Heart-Healthy, Diabetes-Friendly"
2614,Milk Variant 28,407,25.23,9.89,3.45,Kidney-Friendly
2615,Rice Variant 4,510,39.97,6.06,25.27,"Liver-Friendly, Heart-Healthy"
2616,Banana Variant 30,446,3.83,29.7,35.99,"Low-Carb, Kidney-Friendly, Diabetes-Friendly"
2617,Chicken Breast Variant 31,149,37.18,11.21,19.46,High-Protein
2618,Broccoli Variant 38,71,9.39,13.66,24.92,"High-Protein, Liver-Friendly, Heart-Healthy"
2619,Broccoli Variant 46,455,8.41,2.13,55.95,Diabetes-Friendly
2620,Orange Variant 11,76,25.59,27.73,72.17,Diabetes-Friendly
2621,Beef Variant 46,361,4.81,10.91,11.11,Diabetes-Friendly
2622,Almonds Variant 24,499,20.57,21.79,66.23,Heart-Healthy
2623,Egg Variant 35,586,16.61,15.92,27.33,"Heart-Healthy, Balanced"
2624,Chicken Breast Variant 26,113,32.75,0.44,37.27,"Kidney-Friendly, Diabetes-Friendly"
2625,Almonds Variant 12,235,19.77,20.12,46.84,"Diabetes-Friendly, High-Protein, Kidney-Friendly"
2626,Salmon Variant 18,194,18.51,22.98,69.09,Balanced
2627,Chicken Breast Variant 43,408,12.23,25.4,33.8,"Diabetes-Friendly, Heart-Healthy, Balanced"
2628,Pasta Variant 7,422,28.98,15.56,70.44,Diabetes-Friendly
2629,Banana Variant 31,453,18.09,4.55,42.21,"Balanced, High-Protein"
2630,Potato Variant 1,532,10.98,8.19,54.27,"Kidney-Friendly, High-Protein"
2631,Pasta Variant 39,52,25.72,24.22,61.16,Diabetes-Friendly
2632,Carrot Variant 9,518,4.77,18.2,75.07,"Heart-Healthy, Weight-Loss, Low-Salt"
2633,Cheese Variant 4,42,37.83,25.71,77.25,"High-Protein, Heart-Healthy, Kidney-Friendly"
2634,Potato Variant 9,245,10.19,22.7,58.54,High-Protein
2635,Banana Variant 32,166,16.74,29.44,69.02,"Heart-Healthy, Liver-Friendly"
2636,Yogurt Variant 11,223,24.3,19.4,31.7,Heart-Healthy
2637,Potato Variant 33,356,9.2,27.28,2.96,"Balanced, Kidney-Friendly"
2638,Banana Variant 40,98,22.38,26.64,42.08,"High-Protein, Balanced"
2639,Chicken Breast Variant 24,132,30.99,10.7,48.37,Low-Carb
2640,Oats Variant 22,86,11.46,7.7,60.55,"Kidney-Friendly, Low-Salt, Liver-Friendly"
2641,Cheese Variant 6,312,6.77,18.91,75.16,"Low-Carb, Diabetes-Friendly, Balanced"
2642,Tofu Variant 29,195,30.84,4.23,18.93,Diabetes-Friendly
2643,Egg Variant 6,361,12.97,1.41,30.04,Heart-Healthy
2644,Almonds Variant 14,500,28.6,28.01,52.33,Kidney-Friendly
2645,Beef Variant 12,227,27.97,25.97,12.87,Low-Carb
2646,Almonds Variant 37,577,13.9,11.4,73.94,"Heart-Healthy, Low-Salt"
2647,Orange Variant 8,304,32.62,10.52,42.59,Balanced
2648,Cheese Variant 2,531,14.49,14.43,51.27,"Low-Salt, Weight-Loss"
2649,Broccoli Variant 47,576,23.65,5.83,56.18,"Diabetes-Friendly, Weight-Loss"
2650,Apple Variant 3,176,0.53,0.2,9.64,"Low-Carb, High-Protein"
2651,Rice Variant 31,201,31.37,20.24,4.6,"Low-Salt, Low-Carb, Balanced"
2652,Milk Variant 40,541,33.4,25.63,27.31,"Weight-Loss, High-Protein"
2653,Potato Variant 10,81,38.86,23.11,34.78,Heart-Healthy
2654,Rice Variant 26,305,6.26,18.94,6.45,"Kidney-Friendly, Weight-Loss"
2655,Chicken Breast Variant 12,257,12.7,21.65,26.19,"Low-Salt, Diabetes-Friendly, Weight-Loss"
2656,Salmon Variant 43,439,5.68,3.39,20.29,"Balanced, Low-Carb"
